id,seeker_post,response_post
GEMMA,"""Estou me sentindo muito estressado no trabalho ultimamente.""",Entendo. E o que está acontecendo no seu trabalho?
LLAMA,"""Estou me sentindo muito estressado no trabalho ultimamente.""","Então, o que está acontecendo no seu trabalho?"
GPT4,"""Estou me sentindo muito estressado no trabalho ultimamente.""","""Entendo que o estresse no trabalho pode ser muito desafiador. O que acha de começarmos identificando os principais fatores que estão contribuindo para esse estresse?"""
GEMMA,"""Eu quero parar de fumar, mas não sei por onde começar.""","Bem, há muitos bons recursos disponíveis para você se preparar para parar. Você pode tentar o medicamento, há terapia comportamental, há grupos de apoio. O que você acha disso?"
LLAMA,"""Eu quero parar de fumar, mas não sei por onde começar.""","Então você está pronto para parar de fumar, mas não tem certeza de como fazer isso."
GPT4,"""Eu quero parar de fumar, mas não sei por onde começar.""","""Parar de fumar é um grande passo. Vamos explorar algumas estratégias que podem ajudá-lo a iniciar esse processo, como definir metas pequenas e procurar suporte."""
GEMMA,"""Tenho dificuldade em manter uma rotina de exercícios.""","Bem, você não é o único. Muitas pessoas têm dificuldade em manter uma rotina de exercícios."
LLAMA,"""Tenho dificuldade em manter uma rotina de exercícios.""","Ok. Então, o que você gosta de fazer quando decide ir para a academia?"
GPT4,"""Tenho dificuldade em manter uma rotina de exercícios.""","""Manter uma rotina de exercícios pode ser difícil. Que tal discutirmos algumas atividades físicas que você goste e como podemos incorporá-las em sua rotina diária?"""
GEMMA,"""Eu sinto que estou sempre cansado, mesmo quando durmo o suficiente.""",Hmm. Tem quanto tempo que você se sente muito cansado?
LLAMA,"""Eu sinto que estou sempre cansado, mesmo quando durmo o suficiente.""",Então você está cansado mesmo quando está dormindo o suficiente.
GPT4,"""Eu sinto que estou sempre cansado, mesmo quando durmo o suficiente.""","""Sentir-se cansado constantemente pode ser frustrante. Vamos analisar seus hábitos de sono e estilo de vida para ver onde podemos fazer melhorias."""
GEMMA,"""Estou tendo problemas para me concentrar nos meus estudos.""",Então você está tendo dificuldades para se concentrar em seus estudos?
LLAMA,"""Estou tendo problemas para me concentrar nos meus estudos.""","Então, o que você tem feito para tentar melhorar isso?"
GPT4,"""Estou tendo problemas para me concentrar nos meus estudos.""","""Concentração nos estudos é essencial. Podemos trabalhar juntos para criar um ambiente de estudo mais eficaz e técnicas de gerenciamento de tempo."""
